x,y,z,vx,vy,vz,m,id
0.48593906,-0.52435857,-0.5319823,0.46153894,-3.38E-02,-0.32276499,1.56E-05,1
-6.60E-02,8.08E-02,-0.27603051,-0.57578009,1.107815,-0.29340765,1.56E-05,2
-3.48E-02,7.68E-02,-0.39087987,-0.55399138,-0.17386098,5.93E-02,1.56E-05,3
1.5021045,1.4429832,1.449747,-9.03E-02,0.32661179,-0.31059352,1.56E-05,4
-9.55E-03,0.53834057,-0.26726374,1.19E-02,-1.19E-02,-0.40556487,1.56E-05,5
-0.35601652,-4.57E-02,0.33500561,-0.70900804,-0.64990276,0.39794922,1.56E-05,6
-0.39719045,-1.4016269,-0.75777179,4.13E-02,0.71818507,0.42262292,1.56E-05,7
-0.91665667,0.64347249,-0.14635019,-0.51185983,0.2201895,-0.52993709,1.56E-05,8
2.241766,0.79075593,0.29098877,0.29209882,5.33E-02,-0.47229016,1.56E-05,9
-0.97620893,0.44516286,-0.70549303,-0.12024228,-0.2312551,-0.22785689,1.56E-05,10
0.33382949,-2.80E-02,-4.90E-02,-0.40420324,0.42230287,-0.47567162,1.56E-05,11
2.3555684,2.3423939,-1.5989462,-0.24477883,-8.47E-02,0.14539891,1.56E-05,12
0.65948045,0.49584866,0.8178556,8.06E-02,0.92654443,0.49423912,1.56E-05,13
2.1353664,-0.50378293,-0.8323409,-0.49427491,0.22328275,0.18034133,1.56E-05,14
0.23547325,-0.99075449,-0.18244442,-6.91E-02,-0.16659899,-0.68207568,1.56E-05,15
-0.36888322,0.26220119,-0.24566109,-0.37122175,0.26815066,0.37048298,1.56E-05,16
-4.214149,-0.56758261,1.5577402,1.22E-02,4.43E-02,-5.26E-02,1.56E-05,17
-0.55026752,-0.63704252,-0.67401451,3.89E-02,-1.25E-02,7.41E-03,1.56E-05,18
-1.02E-02,-0.57118016,0.19154185,-0.35831872,0.14258298,0.47677302,1.56E-05,19
0.25641167,-0.61348087,0.2240925,-0.26484033,-0.17190184,-0.44283473,1.56E-05,20
-0.2755678,-0.11554593,-0.5106231,0.8073107,0.17237021,-0.23092064,1.56E-05,21
1.8203616,0.20383687,0.46778628,0.32501838,-3.21E-02,-6.86E-02,1.56E-05,22
0.58332342,-0.2590023,7.36E-02,0.16663916,-0.31408864,-0.16349158,1.56E-05,23
-0.71961069,-1.0293692,0.6785751,0.21907435,-3.91E-02,3.92E-02,1.56E-05,24
-0.63213152,-0.90977001,1.7356175,-3.97E-02,-0.45845926,0.39402243,1.56E-05,25
-0.19101709,-0.28118134,-8.99E-02,0.10830878,0.30374211,0.4948186,1.56E-05,26
0.67102236,-1.0002953,0.43006319,0.13628508,0.48389223,5.54E-02,1.56E-05,27
0.40325496,0.18871211,-0.43011239,-0.11596682,3.78E-02,-9.86E-02,1.56E-05,28
0.99780482,1.6278776,1.6072628,0.32858959,-0.36606911,-0.21682394,1.56E-05,29
-0.42724752,-9.91E-02,-1.0293671,-0.28489685,0.26896387,0.14992298,1.56E-05,30
0.67163134,-0.79235381,0.93807364,-0.5079087,-0.35842589,0.23244782,1.56E-05,31
-0.73281592,-0.51953155,-0.25627506,-0.43621168,0.39219463,0.17309675,1.56E-05,32
-0.28944343,0.31719753,-6.79E-02,-0.14172748,0.49258569,0.76863098,1.56E-05,33
2.02E-02,-6.82E-02,0.45494038,0.25917166,8.21E-02,-0.15499371,1.56E-05,34
1.4304693,0.19679941,1.0598367,0.20072359,-0.20510046,-2.03E-02,1.56E-05,35
-0.12961382,0.24261625,0.32733691,-0.51941729,-0.70201528,0.38201702,1.56E-05,36
-2.99E-02,-3.54E-02,-3.99E-02,6.88E-02,-0.37786004,0.81421191,1.56E-05,37
-0.99663883,0.20551425,-1.6665099,0.32409286,9.99E-02,-0.10643627,1.56E-05,38
-0.12638889,1.4702883,0.55818135,-0.20570169,-0.52278984,-0.40658629,1.56E-05,39
0.33297193,1.82E-02,-1.58E-03,0.76861095,0.10364534,-8.57E-02,1.56E-05,40
-1.6837348,-0.95081353,-1.6710527,-0.1833103,-0.53692645,-3.74E-02,1.56E-05,41
0.323769,-2.72E-02,0.14531049,7.97E-02,0.34021392,0.26895201,1.56E-05,42
-1.3287139,-0.61338234,2.1873145,0.25945202,8.66E-02,0.15742831,1.56E-05,43
-0.50153506,0.18281022,-0.27861619,-0.16910541,-6.20E-02,1.2245761,1.56E-05,44
-0.86986655,0.20864461,-0.27155313,1.053213,0.24830468,-8.67E-04,1.56E-05,45
2.0528893,3.6757843,-0.9832679,-6.78E-02,7.26E-02,0.1780652,1.56E-05,46
-0.76874292,0.74380237,-0.12248106,-0.48036167,-0.2660237,-0.33892214,1.56E-05,47
-0.84041619,2.0360968,-0.40958497,-0.28553402,-9.65E-03,-0.43191519,1.56E-05,48
1.4739195,1.5021782,0.65044665,-0.3408666,4.04E-02,7.61E-02,1.56E-05,49
5.91E-02,0.19579738,0.24504219,6.24E-03,-0.5733037,-3.09E-02,1.56E-05,50
-0.76481807,-2.3377211,0.67620218,0.23450658,0.3302848,-0.1949883,1.56E-05,51
-1.3033855,1.4249339,-8.76E-02,-0.36408469,0.17436835,0.46093681,1.56E-05,52
